query,brand,attributes,product_type,tokens,bioes_tags,augmented_query,brand_added
black sesame oil,Bio Oil,['black'],sesame oil,"['black', 'sesame', 'oil', 'Bio', 'Oil']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",black sesame oil Bio Oil,True
7 diamonds chips,7 Diamonds,[],chips,"['7', 'diamonds', 'chips']","['B-Brand', 'E-Brand', 'S-ProductType']",7 diamonds chips,False
scotch brite sponge wipe,Scotch-Brite,[],sponge wipe,"['scotch', 'brite', 'sponge', 'wipe', 'Scotch-Brite']","['O', 'O', 'B-ProductType', 'E-ProductType', 'S-Brand']",scotch brite sponge wipe Scotch-Brite,True
classic verve cigarette,Classic,['verve'],cigarette,"['classic', 'verve', 'cigarette']","['S-Brand', 'S-Attribute', 'S-ProductType']",classic verve cigarette,False
henko detergent bar,Henko,[],detergent bar,"['henko', 'detergent', 'bar']","['S-Brand', 'B-ProductType', 'E-ProductType']",henko detergent bar,False
paper boat lychee,Paper Boat,['lychee'],,"['paper', 'boat', 'lychee']","['B-Brand', 'E-Brand', 'S-Attribute']",paper boat lychee,False
pro ease pad,,['pro ease'],pad,"['pro', 'ease', 'pad']","['B-Attribute', 'E-Attribute', 'S-ProductType']",pro ease pad,False
arata super shampoo,Arata,['super'],shampoo,"['arata', 'super', 'shampoo']","['S-Brand', 'S-Attribute', 'S-ProductType']",arata super shampoo,False
om cake rusk,OM Sweets,[],cake rusk,"['om', 'cake', 'rusk', 'OM', 'Sweets']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",om cake rusk OM Sweets,True
white rangoli powder,Laxolite,['white'],rangoli powder,"['white', 'rangoli', 'powder', 'Laxolite']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",white rangoli powder Laxolite,True
make up puff,Puff Daddy,[],make up puff,"['make', 'up', 'puff', 'Puff', 'Daddy']","['B-ProductType', 'I-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",make up puff Puff Daddy,True
dishwash liquid 5 litre,Fortune Dishwasher,['5 litre'],dishwash liquid,"['dishwash', 'liquid', '5', 'litre', 'Fortune', 'Dishwasher']","['B-ProductType', 'E-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",dishwash liquid 5 litre Fortune Dishwasher,True
mtr badam mix,MTR,['badam mix'],,"['mtr', 'badam', 'mix']","['S-Brand', 'B-Attribute', 'E-Attribute']",mtr badam mix,False
galaxy milk chocolate,Galaxy,[],milk chocolate,"['galaxy', 'milk', 'chocolate']","['S-Brand', 'B-ProductType', 'E-ProductType']",galaxy milk chocolate,False
ear wax cleaner,,[],ear wax cleaner,"['ear', 'wax', 'cleaner']","['B-ProductType', 'I-ProductType', 'E-ProductType']",ear wax cleaner,False
vip hair color,Vip Natural Hair Colour Shampoo,[],hair color,"['vip', 'hair', 'color', 'Vip', 'Natural', 'Hair', 'Colour', 'Shampoo']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",vip hair color Vip Natural Hair Colour Shampoo,True
mcaffeine gift set,mCaffeine,['gift set'],,"['mcaffeine', 'gift', 'set']","['S-Brand', 'B-Attribute', 'E-Attribute']",mcaffeine gift set,False
red sauce pasta,Peppy Pasta,['red'],sauce pasta,"['red', 'sauce', 'pasta', 'Peppy', 'Pasta']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",red sauce pasta Peppy Pasta,True
c to hdmi,,[],hdmi,"['c', 'to', 'hdmi']","['O', 'O', 'S-ProductType']",c to hdmi,False
noise ear buds,Noise,[],ear buds,"['noise', 'ear', 'buds']","['S-Brand', 'B-ProductType', 'E-ProductType']",noise ear buds,False
noise buds vs102,Noise,[],buds,"['noise', 'buds', 'vs102']","['S-Brand', 'S-ProductType', 'O']",noise buds vs102,False
tomato sauce kissan,Kissan,[],sauce,"['tomato', 'sauce', 'kissan']","['O', 'S-ProductType', 'S-Brand']",tomato sauce kissan,False
plum cake elite,Plum,"['plum', 'elite']",cake,"['plum', 'cake', 'elite']","['S-Brand', 'S-ProductType', 'S-Attribute']",plum cake elite,False
lemon tea powder,Vayu Tea and Blends,"['lemon', 'tea', 'powder']",tea,"['lemon', 'tea', 'powder', 'Vayu', 'Tea', 'and', 'Blends']","['S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",lemon tea powder Vayu Tea and Blends,True
paper boat swing,Paper Boat,[],swing,"['paper', 'boat', 'swing']","['B-Brand', 'E-Brand', 'S-ProductType']",paper boat swing,False
cadbury chocolate box,Cadbury,[],chocolate box,"['cadbury', 'chocolate', 'box']","['S-Brand', 'B-ProductType', 'E-ProductType']",cadbury chocolate box,False
ice cream cream pot,Cream Pot,[],ice cream,"['ice', 'cream', 'cream', 'pot']","['B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",ice cream cream pot,False
baby carry bag,Hot Delivery Bag,[],carry bag,"['baby', 'carry', 'bag', 'Hot', 'Delivery', 'Bag']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",baby carry bag Hot Delivery Bag,True
dairy milk packet,Dairy Milk,[],packet,"['dairy', 'milk', 'packet']","['B-Brand', 'E-Brand', 'S-ProductType']",dairy milk packet,False
park avenue euphoria,Park Avenue,['euphoria'],,"['park', 'avenue', 'euphoria']","['B-Brand', 'E-Brand', 'S-Attribute']",park avenue euphoria,False
mens face cream,Faceclin,['mens'],face cream,"['mens', 'face', 'cream', 'Faceclin']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'S-Brand']",mens face cream Faceclin,True
plush pregnancy kit,Plush,[],pregnancy kit,"['plush', 'pregnancy', 'kit']","['S-Brand', 'B-ProductType', 'E-ProductType']",plush pregnancy kit,False
tea light holder,Teabox,[],holder,"['tea', 'light', 'holder', 'Teabox']","['O', 'O', 'S-ProductType', 'S-Brand']",tea light holder Teabox,True
chilli cheese garlic bread,Garlic,"['chilli', 'cheese', 'garlic']",bread,"['chilli', 'cheese', 'garlic', 'bread']","['S-Attribute', 'S-Attribute', 'S-Brand', 'S-ProductType']",chilli cheese garlic bread,False
natural peanut butter,Nutter Butter-S,['natural'],peanut butter,"['natural', 'peanut', 'butter', 'Nutter', 'Butter-S']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",natural peanut butter Nutter Butter-S,True
drain cleaner powder,,[],drain cleaner powder,"['drain', 'cleaner', 'powder']","['B-ProductType', 'I-ProductType', 'E-ProductType']",drain cleaner powder,False
rosemary dry leaves,,"['rosemary', 'dry']",leaves,"['rosemary', 'dry', 'leaves']","['S-Attribute', 'S-Attribute', 'S-ProductType']",rosemary dry leaves,False
sugar free jam,Sugar Free,['sugar free'],jam,"['sugar', 'free', 'jam']","['B-Brand', 'E-Brand', 'S-ProductType']",sugar free jam,False
soap for men,,['for men'],soap,"['soap', 'for', 'men']","['S-ProductType', 'B-Attribute', 'E-Attribute']",soap for men,False
oddy food wrap,Daily Wrap,[],food wrap,"['oddy', 'food', 'wrap', 'Daily', 'Wrap']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",oddy food wrap Daily Wrap,True
candy & toffee,Candycop,[],candy,"['candy', '&', 'toffee', 'Candycop']","['S-ProductType', 'O', 'O', 'S-Brand']",candy & toffee Candycop,True
daily good mishri,Daily Good,[],mishri,"['daily', 'good', 'mishri']","['B-Brand', 'E-Brand', 'S-ProductType']",daily good mishri,False
anmol dream lite,Anmol,['dream lite'],,"['anmol', 'dream', 'lite']","['S-Brand', 'B-Attribute', 'E-Attribute']",anmol dream lite,False
all out vaporizer,All Out,[],vaporizer,"['all', 'out', 'vaporizer']","['B-Brand', 'E-Brand', 'S-ProductType']",all out vaporizer,False
veg atta maggie,Maggi,['veg'],atta,"['veg', 'atta', 'maggie']","['S-Attribute', 'S-ProductType', 'O']",veg atta maggie,False
harry poter kinder,Kinder Joy 2024,['harry poter'],,"['harry', 'poter', 'kinder', 'Kinder', 'Joy', '2024']","['B-Attribute', 'E-Attribute', 'O', 'B-Brand', 'I-Brand', 'E-Brand']",harry poter kinder Kinder Joy 2024,True
tata toor dal,Tata Sampann,[],toor dal,"['tata', 'toor', 'dal', 'Tata', 'Sampann']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",tata toor dal Tata Sampann,True
stayfree cotton pads,Stayfree,['cotton'],pads,"['stayfree', 'cotton', 'pads']","['S-Brand', 'S-Attribute', 'S-ProductType']",stayfree cotton pads,False
ups for wifi router,,[],ups,"['ups', 'for', 'wifi', 'router']","['S-ProductType', 'O', 'O', 'O']",ups for wifi router,False
kent electric kettle,Kent,[],electric kettle,"['kent', 'electric', 'kettle']","['S-Brand', 'B-ProductType', 'E-ProductType']",kent electric kettle,False
crompton iron box,Crompton,[],iron box,"['crompton', 'iron', 'box']","['S-Brand', 'B-ProductType', 'E-ProductType']",crompton iron box,False
classmate practical notebook,Classmate,[],notebook,"['classmate', 'practical', 'notebook']","['S-Brand', 'O', 'S-ProductType']",classmate practical notebook,False
shaving razor women,Bombay shaving Company,['women'],shaving razor,"['shaving', 'razor', 'women', 'Bombay', 'shaving', 'Company']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",shaving razor women Bombay shaving Company,True
phy body wash,The Natural Wash,[],body wash,"['phy', 'body', 'wash', 'The', 'Natural', 'Wash']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",phy body wash The Natural Wash,True
korean style chips,Mota Chips,['korean style'],chips,"['korean', 'style', 'chips', 'Mota', 'Chips']","['B-Attribute', 'E-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",korean style chips Mota Chips,True
u. s. polo assn.,U. S. Polo Assn.,[],,"['u', '.', 's', '.', 'polo', 'assn', '.']","['B-Brand', 'I-Brand', 'I-Brand', 'I-Brand', 'I-Brand', 'I-Brand', 'E-Brand']",u. s. polo assn.,False
chicken biryani mix,,"['chicken', 'biryani', 'mix']",,"['chicken', 'biryani', 'mix']","['S-Attribute', 'S-Attribute', 'S-Attribute']",chicken biryani mix,False
aerial top load,Ariel,[],top load,"['aerial', 'top', 'load', 'Ariel']","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",aerial top load Ariel,True
chocolate mini bite,The Belgian Chocolate,"['chocolate', 'mini']",bite,"['chocolate', 'mini', 'bite', 'The', 'Belgian', 'Chocolate']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",chocolate mini bite The Belgian Chocolate,True
toothbrush with cover,,['with cover'],toothbrush,"['toothbrush', 'with', 'cover']","['S-ProductType', 'B-Attribute', 'E-Attribute']",toothbrush with cover,False
gloves for winter,,['for winter'],gloves,"['gloves', 'for', 'winter']","['S-ProductType', 'B-Attribute', 'E-Attribute']",gloves for winter,False
amul ghee pouch,Amul,[],ghee,"['amul', 'ghee', 'pouch']","['S-Brand', 'S-ProductType', 'O']",amul ghee pouch,False
wipro smart bulb,Wipro,['smart'],bulb,"['wipro', 'smart', 'bulb']","['S-Brand', 'S-Attribute', 'S-ProductType']",wipro smart bulb,False
everest turmeric powder,Everest,[],turmeric powder,"['everest', 'turmeric', 'powder']","['S-Brand', 'B-ProductType', 'E-ProductType']",everest turmeric powder,False
mamaearth hair serum,Mamaearth,[],hair serum,"['mamaearth', 'hair', 'serum']","['S-Brand', 'B-ProductType', 'E-ProductType']",mamaearth hair serum,False
chane ka saag,Chandan,[],saag,"['chane', 'ka', 'saag', 'Chandan']","['O', 'O', 'S-ProductType', 'S-Brand']",chane ka saag Chandan,True
khatta meetha namkeen,Khatana,"['khatta', 'meetha']",namkeen,"['khatta', 'meetha', 'namkeen', 'Khatana']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'S-Brand']",khatta meetha namkeen Khatana,True
kitchen knife set,Choicest Kitchen,[],knife set,"['kitchen', 'knife', 'set', 'Choicest', 'Kitchen']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",kitchen knife set Choicest Kitchen,True
cables & chargers,,[],cables & chargers,"['cables', '&', 'chargers']","['B-ProductType', 'I-ProductType', 'E-ProductType']",cables & chargers,False
kinder joy barbie,Kinder Joy 2024,['barbie'],,"['kinder', 'joy', 'barbie', 'Kinder', 'Joy', '2024']","['O', 'O', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",kinder joy barbie Kinder Joy 2024,True
jaggery peanut butter,Nutter Butter-S,['jaggery'],peanut butter,"['jaggery', 'peanut', 'butter', 'Nutter', 'Butter-S']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",jaggery peanut butter Nutter Butter-S,True
baby hair brush,Hair,[],hair brush,"['baby', 'hair', 'brush']","['O', 'S-Brand', 'O']",baby hair brush,False
daily good akhrot,Daily Good,['akhrot'],,"['daily', 'good', 'akhrot']","['B-Brand', 'E-Brand', 'S-Attribute']",daily good akhrot,False
ponds face powder,Pond's,[],face powder,"['ponds', 'face', 'powder', ""Pond's""]","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",ponds face powder Pond's,True
amul milk gold,Amul,['gold'],milk,"['amul', 'milk', 'gold']","['S-Brand', 'S-ProductType', 'S-Attribute']",amul milk gold,False
organic tattva sugar,Organic Tattva,[],sugar,"['organic', 'tattva', 'sugar']","['B-Brand', 'E-Brand', 'S-ProductType']",organic tattva sugar,False
mamypoko pants diaper xl,Mamypoko,['xl'],diaper,"['mamypoko', 'pants', 'diaper', 'xl']","['S-Brand', 'O', 'S-ProductType', 'S-Attribute']",mamypoko pants diaper xl,False
cocosutra hot chocolate powder,Cocosutra,['hot chocolate'],powder,"['cocosutra', 'hot', 'chocolate', 'powder']","['S-Brand', 'B-Attribute', 'E-Attribute', 'S-ProductType']",cocosutra hot chocolate powder,False
10 rupees items,,['10 rupees'],items,"['10', 'rupees', 'items']","['B-Attribute', 'E-Attribute', 'S-ProductType']",10 rupees items,False
cream pot strawberry,Cream Pot,['strawberry'],cream,"['cream', 'pot', 'strawberry']","['B-Brand', 'E-Brand', 'S-Attribute']",cream pot strawberry,False
kinderjoy harry potter,Kinder Joy 2024,['harry potter'],,"['kinderjoy', 'harry', 'potter', 'Kinder', 'Joy', '2024']","['O', 'B-Attribute', 'E-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",kinderjoy harry potter Kinder Joy 2024,True
loreal night cream,L'Oreal,['night'],cream,"['loreal', 'night', 'cream', ""L'Oreal""]","['O', 'S-Attribute', 'S-ProductType', 'S-Brand']",loreal night cream L'Oreal,True
cotton face mask,Cotton Mouth,['cotton'],face mask,"['cotton', 'face', 'mask', 'Cotton', 'Mouth']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",cotton face mask Cotton Mouth,True
mars lip drip mist,Mars Cosmetics,"['lip', 'drip', 'mist']",,"['mars', 'lip', 'drip', 'mist', 'Mars', 'Cosmetics']","['O', 'S-Attribute', 'S-Attribute', 'S-Attribute', 'B-Brand', 'E-Brand']",mars lip drip mist Mars Cosmetics,True
medimix body wash,Medimix,[],body wash,"['medimix', 'body', 'wash']","['S-Brand', 'B-ProductType', 'E-ProductType']",medimix body wash,False
semi brown rice,Cuppa Rice,"['semi', 'brown']",rice,"['semi', 'brown', 'rice', 'Cuppa', 'Rice']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",semi brown rice Cuppa Rice,True
coconut water fresh,Thai Coco,['fresh'],coconut water,"['coconut', 'water', 'fresh', 'Thai', 'Coco']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'B-Brand', 'E-Brand']",coconut water fresh Thai Coco,True
denver gift set,Denver,[],gift set,"['denver', 'gift', 'set']","['S-Brand', 'B-ProductType', 'E-ProductType']",denver gift set,False
camlin colour pencils,Camlin Kokuyo,[],colour pencils,"['camlin', 'colour', 'pencils', 'Camlin', 'Kokuyo']","['O', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",camlin colour pencils Camlin Kokuyo,True
ariel liquid front load,Ariel,"['liquid', 'front load']",,"['ariel', 'liquid', 'front', 'load']","['S-Brand', 'S-Attribute', 'B-Attribute', 'E-Attribute']",ariel liquid front load,False
harry potter kindarjoy,,[],,"['harry', 'potter', 'kindarjoy']","['O', 'O', 'O']",harry potter kindarjoy,False
mirinda soft drinks,Mirinda,[],soft drinks,"['mirinda', 'soft', 'drinks']","['S-Brand', 'B-ProductType', 'E-ProductType']",mirinda soft drinks,False
peel of mask,Suraksha Mask,['peel off'],mask,"['peel', 'of', 'mask', 'Suraksha', 'Mask']","['O', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",peel of mask Suraksha Mask,True
peanut butter bar,Bar Box,[],bar,"['peanut', 'butter', 'bar', 'Bar', 'Box']","['O', 'O', 'S-ProductType', 'B-Brand', 'E-Brand']",peanut butter bar Bar Box,True
dairy milk cracker,Dairy Milk,[],cracker,"['dairy', 'milk', 'cracker']","['B-Brand', 'E-Brand', 'S-ProductType']",dairy milk cracker,False
active salt toothpaste,Salt,['active'],toothpaste,"['active', 'salt', 'toothpaste']","['S-Attribute', 'S-Brand', 'S-ProductType']",active salt toothpaste,False
lipstick under 100,Makeup Revolution,['under 100'],lipstick,"['lipstick', 'under', '100', 'Makeup', 'Revolution']","['S-ProductType', 'B-Attribute', 'E-Attribute', 'B-Brand', 'E-Brand']",lipstick under 100 Makeup Revolution,True
cello ball pen,Cello,[],ball pen,"['cello', 'ball', 'pen']","['S-Brand', 'B-ProductType', 'E-ProductType']",cello ball pen,False
rice paper sheets,,"['rice', 'paper', 'sheets']",,"['rice', 'paper', 'sheets']","['S-Attribute', 'S-Attribute', 'S-Attribute']",rice paper sheets,False
liberty adult diaper,Liberty,['adult'],diaper,"['liberty', 'adult', 'diaper']","['S-Brand', 'S-Attribute', 'S-ProductType']",liberty adult diaper,False
kinder schoko-bons crispy,Kinder Schoko Bons,['crispy'],,"['kinder', 'schoko-bons', 'crispy', 'Kinder', 'Schoko', 'Bons']","['O', 'O', 'S-Attribute', 'B-Brand', 'I-Brand', 'E-Brand']",kinder schoko-bons crispy Kinder Schoko Bons,True
hair serum streax,Streax,[],hair serum,"['hair', 'serum', 'streax']","['B-ProductType', 'E-ProductType', 'S-Brand']",hair serum streax,False
ecoright crossbody bag,,[],crossbody bag,"['ecoright', 'crossbody', 'bag']","['O', 'B-ProductType', 'E-ProductType']",ecoright crossbody bag,False
cut mango pickle,Mango,['cut'],mango pickle,"['cut', 'mango', 'pickle']","['S-Attribute', 'S-Brand', 'O']",cut mango pickle,False
3 pin socket,Pin,[],socket,"['3', 'pin', 'socket']","['O', 'S-Brand', 'S-ProductType']",3 pin socket,False
dairy milk combo,Dairy Milk,['combo'],,"['dairy', 'milk', 'combo']","['B-Brand', 'E-Brand', 'S-Attribute']",dairy milk combo,False
pac contact lenses,Contacts,[],contact lenses,"['pac', 'contact', 'lenses', 'Contacts']","['O', 'B-ProductType', 'E-ProductType', 'S-Brand']",pac contact lenses Contacts,True
biscuit sugar free,Sugar Free,['sugar free'],biscuit,"['biscuit', 'sugar', 'free']","['S-ProductType', 'B-Brand', 'E-Brand']",biscuit sugar free,False
masala tea powder,Tata Tea,['masala'],tea powder,"['masala', 'tea', 'powder', 'Tata', 'Tea']","['S-Attribute', 'B-ProductType', 'E-ProductType', 'B-Brand', 'E-Brand']",masala tea powder Tata Tea,True
lux cozi trunks,Lux Cozi,[],trunks,"['lux', 'cozi', 'trunks']","['B-Brand', 'E-Brand', 'S-ProductType']",lux cozi trunks,False
gulabari rose water,Gulab Oil,"['gulabari', 'rose']",water,"['gulabari', 'rose', 'water', 'Gulab', 'Oil']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",gulabari rose water Gulab Oil,True
lemon iced tea,Lipton Ice Tea,"['lemon', 'iced']",tea,"['lemon', 'iced', 'tea', 'Lipton', 'Ice', 'Tea']","['S-Attribute', 'S-Attribute', 'S-ProductType', 'B-Brand', 'I-Brand', 'E-Brand']",lemon iced tea Lipton Ice Tea,True
modern whole wheat bread,Modern,['whole wheat'],bread,"['modern', 'whole', 'wheat', 'bread']","['S-Brand', 'B-Attribute', 'E-Attribute', 'S-ProductType']",modern whole wheat bread,False
100 pages notebook,,['100 pages'],notebook,"['100', 'pages', 'notebook']","['B-Attribute', 'E-Attribute', 'S-ProductType']",100 pages notebook,False
usb c to hdmi,,[],hdmi,"['usb', 'c', 'to', 'hdmi']","['O', 'O', 'O', 'S-ProductType']",usb c to hdmi,False
cnv-paneer tikka masala,Sakthi Masala,['paneer tikka masala'],,"['cnv-paneer', 'tikka', 'masala', 'Sakthi', 'Masala']","['O', 'O', 'O', 'B-Brand', 'E-Brand']",cnv-paneer tikka masala Sakthi Masala,True
britannia cakes cakes,Britannia,[],cakes,"['britannia', 'cakes', 'cakes']","['S-Brand', 'S-ProductType', 'O']",britannia cakes cakes,False
parachute oil small,Parachute,['small'],oil,"['parachute', 'oil', 'small']","['S-Brand', 'S-ProductType', 'S-Attribute']",parachute oil small,False
campa lemon pet,Campa,['lemon'],pet,"['campa', 'lemon', 'pet']","['S-Brand', 'S-Attribute', 'S-ProductType']",campa lemon pet,False
loto choco pie,Lotte,['choco pie'],,"['loto', 'choco', 'pie', 'Lotte']","['O', 'B-Attribute', 'E-Attribute', 'S-Brand']",loto choco pie Lotte,True
dairy milk ganache,Cadbury,['ganache'],dairy milk,"['dairy', 'milk', 'ganache', 'Cadbury']","['B-ProductType', 'E-ProductType', 'S-Attribute', 'S-Brand']",dairy milk ganache Cadbury,True
kirti gold oil,Gulab Oil,['gold'],oil,"['kirti', 'gold', 'oil', 'Gulab', 'Oil']","['O', 'S-Attribute', 'S-ProductType', 'B-Brand', 'E-Brand']",kirti gold oil Gulab Oil,True
